List,Sentence,Offset
24,94,-0.618755487390041
24,617,-0.929045162577672
24,450,-0.312924962021012
24,1052,-0.455968578794982
24,846,-0.285846228577801
24,781,-0.292324388334392
24,1038,-0.152866168155161
24,335,-0.211451009403102
24,638,-0.068822463702042
24,271,-0.114328877015652
24,766,0.173899158897688
24,80,-0.0333418318857319
24,995,0.513613818337288
24,662,0.494196832780139
24,309,1.10507985108811
24,227,0.800224803591878
24,763,1.4426081056952
24,444,1.26065518947229
25,216,-2.09216865994093
25,438,-2.75709543006755
25,210,-1.42253460068477
25,123,-1.53929548741728
25,785,-1.17715621000612
25,301,-1.38973130668786
25,637,-0.349512998092532
25,319,-0.639262604816182
25,212,0.220653723710348
25,1094,-0.216874905303092
25,449,0.332219963524828
25,972,0.245209162274288
25,814,0.721683462536069
25,417,0.455882289260388
25,1151,1.01886263864955
25,630,0.924721145694988
25,693,1.61478946438971
25,495,1.40480104032819
25,758,2.70712787108743
25,596,2.22943847354864
26,299,-1.9663041216842
26,52,-1.97654217141565
26,374,-1.82389462117398
26,875,-1.96317818312659
26,547,-0.972369195371462
26,1120,-1.63761715675868
26,928,-0.671332209507402
26,1051,-0.962938007275132
26,23,0.0202402017775682
26,1166,-0.489337171740342
26,623,0.447380215431989
26,436,0.428775496168808
26,718,0.625415143694438
26,311,0.566096862453498
26,600,1.19746234105181
26,597,0.945361347930498
26,275,1.78104626249428
26,799,1.57951782790495
26,134,2.3924180620091
26,92,2.20023838150696
27,422,-1.34653705409771
27,68,-1.56833298584314
27,285,-1.09047493991515
27,494,-1.26242244264908
27,1066,-0.757594493789472
27,601,-0.766156409943521
27,780,-0.667233635458742
27,317,-0.696708818238132
27,1103,0.122385746827388
27,359,-0.548883517255712
27,943,0.270786539971978
27,1160,0.229668283548539
27,501,0.316228540334938
27,1109,0.308784128100529
27,236,0.798130648371838
27,157,0.717936080722918
27,658,1.27588714080681
27,655,1.25326377893165
27,842,1.73841251685237
27,474,1.59559612951608
28,428,-2.58148797431906
28,699,-2.66564447234735
28,616,-1.13029894414454
28,1191,-2.30190128591255
28,1083,-0.471565042163202
28,182,-0.548979479084582
28,770,-0.254775937386232
28,667,-0.416708798496232
28,610,-0.197537053620472
28,1104,-0.232469892535012
28,975,0.378827979955928
28,365,0.124394080655358
28,677,0.582742349032339
28,222,0.556250111354788
28,843,0.882798829814498
28,1114,0.769847407650838
28,769,1.83490401908078
28,246,1.38089929457984
28,1131,2.53443364106698
28,1198,2.44437725790805
29,790,-1.67435316503516
29,414,-2.10402964282162
29,915,-1.59230723213996
29,903,-1.62931648017796
29,977,-1.10753083685371
29,191,-1.2005225154133
29,8,-0.619610913264422
29,566,-0.707703299667061
29,142,-0.326974956728932
29,689,-0.335707332748582
29,888,0.438362005387268
29,679,-0.120878599101112
29,66,0.755084942917488
29,292,0.443901460394758
29,540,1.20472465048182
29,841,0.776134209399189
29,15,1.46570832257716
29,1007,1.32356603847554
29,884,2.48521898608128
29,683,1.75337448936104
30,953,-1.45719996605322
30,331,-1.96584386501235
30,65,-1.07599795236434
30,924,-1.23153818374018
30,656,-0.934190352194952
30,469,-1.06446368586192
30,628,-0.400204256319632
30,340,-0.513293470813032
30,318,0.119609256217529
30,1197,-0.248968966463551
30,1000,0.183399306002428
30,362,0.160600999085208
30,627,0.360069269218238
30,952,0.249997269280628
30,746,0.962758462386598
30,579,0.779264484507459
30,243,1.47564137017347
30,1025,1.22466527780637
30,901,2.13815496258725
30,644,1.58685769341546
31,515,-1.86885681337677
31,598,-2.42521891049602
31,633,-1.57246648165386
31,531,-1.61263626611466
31,816,-1.0943025315343
31,1060,-1.20967829015954
31,462,-0.855716987349061
31,657,-0.905415920979682
31,249,-0.511663829814852
31,1034,-0.544375639228711
31,670,0.648732690598068
31,439,0.242485875840588
31,634,1.06143478818177
31,897,0.794914819334478
31,886,1.29782281966867
31,492,1.12795553506635
31,583,1.63965084316029
31,811,1.57562720631318
31,668,1.99459049699225
31,925,1.76330857712775
32,749,-1.91175819593085
32,1150,-1.96399693276281
32,828,-1.18629326559654
32,467,-1.18938315718484
32,1196,-0.969836434931342
32,131,-1.18381788335669
32,1195,-0.734685587511971
32,1082,-0.966226310978482
32,1163,-0.155421831586722
32,234,-0.492099570861832
32,1081,0.745844818483108
32,823,0.493438272050159
32,164,0.972116851636948
32,465,0.772656002692358
32,486,1.21592923832955
32,488,1.06587902096922
32,1020,1.36657141576804
32,442,1.25514899323413
32,1177,1.60058529792475
32,349,1.44535517958852
33,199,-2.07114998303259
33,162,-2.72364757775128
33,640,-1.40858493180022
33,1137,-1.45476627880283
33,788,-0.972203065267672
33,714,-1.32148913588423
33,161,-0.879225202465602
33,403,-0.900745876522372
33,176,0.0344232562101281
33,356,-0.235090995024971
33,685,0.425060568426618
33,1065,0.082682097826658
33,240,0.909921700639479
33,1111,0.508532218055378
33,338,1.04638480199974
33,533,0.994920775649138
33,527,1.69338578693875
33,69,1.65183973148887
33,902,2.92275263419767
33,1154,1.83273783728436
34,401,-2.10378371065191
34,300,-2.1281652551339
34,1156,-1.12112444474164
34,322,-1.61028530739111
34,909,-0.768676157103871
34,1175,-0.951042869426592
34,774,-0.627366974546661
34,818,-0.646872645418002
34,143,-0.133394108896362
34,797,-0.587953451208102
34,473,0.479156139062348
34,919,0.439999931232128
34,307,0.705228869793649
34,258,0.524300345116628
34,434,1.28740065638261
34,795,1.11382009572023
34,1170,1.47461332715768
34,1136,1.34040029775924
34,971,2.40513828002652
34,912,1.83327791564382
35,470,-2.38241956167881
35,58,-2.42954580083386
35,67,-1.82160642725979
35,12,-2.21273875225067
35,1189,-1.46631453648478
35,881,-1.5923171690985
35,206,-0.214102034100002
35,1105,-1.01507754429892
35,813,0.0252163440018984
35,676,-0.0555349054018519
35,834,0.302792832719058
35,314,0.235940932975258
35,935,1.13259769222875
35,253,0.391780768406658
35,961,1.52741837688817
35,1159,1.15112521765124
35,18,2.02110226972261
35,180,1.76507719707295
